n,T,num_runs,num_odd,num_even
2,1,1,0,1
3,7,4,2,5
4,2,1,0,2
5,5,2,1,4
6,8,5,2,6
7,16,10,5,11
8,3,1,0,3
9,19,12,6,13
10,6,3,1,5
11,14,8,4,10
12,9,5,2,7
13,9,4,2,7
14,17,11,5,12
15,17,10,5,12
16,4,1,0,4
17,12,6,3,9
18,20,13,6,14
19,20,12,6,14
20,7,3,1,6
21,7,2,1,6
22,15,9,4,11
23,15,8,4,11
24,10,5,2,8
25,23,14,7,16
26,10,5,2,8
27,111,82,41,70
28,18,11,5,13
29,18,10,5,13
30,18,11,5,13
31,106,78,39,67
32,5,1,0,5
33,26,16,8,18
34,13,7,3,10
35,13,6,3,10
36,21,13,6,15
37,21,12,6,15
38,21,13,6,15
39,34,22,11,23
40,8,3,1,7
41,109,80,40,69
42,8,3,1,7
43,29,18,9,20
44,16,9,4,12
45,16,8,4,12
46,16,9,4,12
47,104,76,38,66
48,11,5,2,9
49,24,14,7,17
50,24,15,7,17
51,24,14,7,17
52,11,5,2,9
53,11,4,2,9
54,112,83,41,71
55,112,82,41,71
56,19,11,5,14
57,32,20,10,22
58,19,11,5,14
59,32,20,10,22
60,19,11,5,14
61,19,10,5,14
62,107,79,39,68
63,107,78,39,68
64,6,1,0,6
65,27,16,8,19
66,27,17,8,19
67,27,16,8,19
68,14,7,3,11
69,14,6,3,11
70,14,7,3,11
71,102,74,37,65
72,22,13,6,16
73,115,84,42,73
74,22,13,6,16
75,14,6,3,11
76,22,13,6,16
77,22,12,6,16
78,35,23,11,24
79,35,22,11,24
80,9,3,1,8
81,22,12,6,16
82,110,81,40,70
83,110,80,40,70
84,9,3,1,8
85,9,2,1,8
86,30,19,9,21
87,30,18,9,21
88,17,9,4,13
89,30,18,9,21
90,17,9,4,13
91,92,66,33,59
92,17,9,4,13
93,17,8,4,13
94,105,77,38,67
95,105,76,38,67
96,12,5,2,10
97,118,86,43,75
98,25,15,7,18
99,25,14,7,18
100,25,15,7,18
101,25,14,7,18
102,25,15,7,18
103,87,62,31,56
104,12,5,2,10
105,38,24,12,26
106,12,5,2,10
107,100,72,36,64
108,113,83,41,72
109,113,82,41,72
110,113,83,41,72
111,69,48,24,45
112,20,11,5,15
113,12,4,2,10
114,33,21,10,23
115,33,20,10,23
116,20,11,5,15
117,20,10,5,15
118,33,21,10,23
119,33,20,10,23
120,20,11,5,15
121,95,68,34,61
122,20,11,5,15
123,46,30,15,31
124,108,79,39,69
125,108,78,39,69
126,108,79,39,69
127,46,30,15,31
128,7,1,0,7
129,121,88,44,77
130,28,17,8,20
131,28,16,8,20
132,28,17,8,20
133,28,16,8,20
134,28,17,8,20
135,41,26,13,28
136,15,7,3,12
137,90,64,32,58
138,15,7,3,12
139,41,26,13,28
140,15,7,3,12
141,15,6,3,12
142,103,75,37,66
143,103,74,37,66
144,23,13,6,17
145,116,84,42,74
146,116,85,42,74
147,116,84,42,74
148,23,13,6,17
149,23,12,6,17
150,15,7,3,12
151,15,6,3,12
152,23,13,6,17
153,36,22,11,25
154,23,13,6,17
155,85,60,30,55
156,36,23,11,25
157,36,22,11,25
158,36,23,11,25
159,54,36,18,36
160,10,3,1,9
161,98,70,35,63
162,23,13,6,17
163,23,12,6,17
164,111,81,40,71
165,111,80,40,71
166,111,81,40,71
167,67,46,23,44
168,10,3,1,9
169,49,32,16,33
170,10,3,1,9
171,124,90,45,79
172,31,19,9,22
173,31,18,9,22
174,31,19,9,22
175,80,56,28,52
176,18,9,4,14
177,31,18,9,22
178,31,19,9,22
179,31,18,9,22
180,18,9,4,14
181,18,8,4,14
182,93,67,33,60
183,93,66,33,60
184,18,9,4,14
185,44,28,14,30
186,18,9,4,14
187,44,28,14,30
188,106,77,38,68
189,106,76,38,68
190,106,77,38,68
191,44,28,14,30
192,13,5,2,11
193,119,86,43,76
194,119,87,43,76
195,119,86,43,76
196,26,15,7,19
197,26,14,7,19
198,26,15,7,19
199,119,86,43,76
200,26,15,7,19
201,18,8,4,14
202,26,15,7,19
203,39,24,12,27
204,26,15,7,19
205,26,14,7,19
206,88,63,31,57
207,88,62,31,57
208,13,5,2,11
209,39,24,12,27
210,39,25,12,27
211,39,24,12,27
212,13,5,2,11
213,13,4,2,11
214,101,73,36,65
215,101,72,36,65
216,114,83,41,73
217,26,14,7,19
218,114,83,41,73
219,52,34,17,35
220,114,83,41,73
221,114,82,41,73
222,70,49,24,46
223,70,48,24,46
224,21,11,5,16
225,52,34,17,35
226,13,5,2,11
227,13,4,2,11
228,34,21,10,24
229,34,20,10,24
230,34,21,10,24
231,127,92,46,81
232,21,11,5,16
233,83,58,29,54
234,21,11,5,16
235,127,92,46,81
236,34,21,10,24
237,34,20,10,24
238,34,21,10,24
239,52,34,17,35
240,21,11,5,16
241,21,10,5,16
242,96,69,34,62
243,96,68,34,62
244,21,11,5,16
245,21,10,5,16
246,47,31,15,32
247,47,30,15,32
248,109,79,39,70
249,47,30,15,32
250,109,79,39,70
251,65,44,22,43
252,109,79,39,70
253,109,78,39,70
254,47,31,15,32
255,47,30,15,32
256,8,1,0,8
257,122,88,44,78
258,122,89,44,78
259,122,88,44,78
260,29,17,8,21
261,29,16,8,21
262,29,17,8,21
263,78,54,27,51
264,29,17,8,21
265,122,88,44,78
266,29,17,8,21
267,21,10,5,16
268,29,17,8,21
269,29,16,8,21
270,42,27,13,29
271,42,26,13,29
272,16,7,3,13
273,29,16,8,21
274,91,65,32,59
275,91,64,32,59
276,16,7,3,13
277,16,6,3,13
278,42,27,13,29
279,42,26,13,29
280,16,7,3,13
281,42,26,13,29
282,16,7,3,13
283,60,40,20,40
284,104,75,37,67
285,104,74,37,67
286,104,75,37,67
287,42,26,13,29
288,24,13,6,18
289,29,16,8,21
290,117,85,42,75
291,117,84,42,75
292,117,85,42,75
293,117,84,42,75
294,117,85,42,75
295,55,36,18,37
296,24,13,6,18
297,73,50,25,48
298,24,13,6,18
299,117,84,42,75
300,16,7,3,13
301,16,6,3,13
302,16,7,3,13
303,42,26,13,29
304,24,13,6,18
